codigo_glaciar,nombre,tipo_glaciar,area_km2,region,provincia,comuna,latitud,longitud,cuenca,macrozona,altitud_media_msnm,altitud_max_msnm,altitud_min_msnm,volumen_hielo_km3,volumen_agua_km3,pendiente_grados,orientacion,anio_inventario
CL101010001@,VOLCAN PARINACOTA,GLACIAR DE MONTAÑA,1.16762498662,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.1744803305003,-69.1433999344572,ALTIPLANICAS,MACROZONA NORTE,5804.47603989,6317,5375,0.0351702574022,0.0298947187919,30.7592571574,S,2019
CL101001023@,VOLCAN POMERAPE,GLACIAR DE MONTAÑA,0.477543486817,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.1245109467846,-69.1291611785678,ALTIPLANICAS,MACROZONA NORTE,6071.46747322,6255,5664,0.0104535885106,0.00888555023401,28.4944850261,NW,2019
CL101021004@,sin_nombre,GLACIARETE,0.162167109357,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4280225838322,-69.0956929210804,ALTIPLANICAS,MACROZONA NORTE,5840.86623832,5947,5685,0.00241415053015,0.00205202795063,27.3441086949,S,2019
CL101021007@,sin_nombre,GLACIARETE,0.0938695796118,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4246563941066,-69.0853207374523,ALTIPLANICAS,MACROZONA NORTE,5848.44433198,5963,5709,0.00114963800548,0.000977192304658,27.5162578411,S,2019
CL101021008@,sin_nombre,GLACIARETE,0.155675697911,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4248395730891,-69.0813864685367,ALTIPLANICAS,MACROZONA NORTE,5746.07064555,5854,5512,0.00228396011034,0.00194136609379,25.2917774589,S,2019
CL101010025@,sin_nombre,GLACIARETE,0.184501496364,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4201353243812,-69.0897797251731,ALTIPLANICAS,MACROZONA NORTE,6024.10609944,6065,5944,0.00287611809534,0.00244470038104,17.6159123299,NE,2019
CL101021002@,sin_nombre,GLACIARETE,0.0978447719945,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4245473848394,-69.0960974426786,ALTIPLANICAS,MACROZONA NORTE,5852.41545894,5917,5669,0.00121619837243,0.00103376861657,29.4936771894,NW,2019
CL101044024A,sin_nombre,GLACIAR DE MONTAÑA,0.306096822213,TARAPACA,TAMARUGAL,COLCHANE,-19.7571561537119,-68.6974870147486,ALTIPLANICAS,MACROZONA NORTE,5816.5883792,5973,5626,0.00571683002787,0.00485930552369,25.0688091412,S,2019
CL101021001@,sin_nombre,GLACIAR DE MONTAÑA,0.491152955196,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4184776923361,-69.0946120758503,ALTIPLANICAS,MACROZONA NORTE,5852.44634945,6033,5563,0.0108599044792,0.00923091880732,28.1427760242,W,2019
CL101010023@,sin_nombre,GLACIARETE,0.14472455023,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.4200180235521,-69.0821204571258,ALTIPLANICAS,MACROZONA NORTE,5820.21158854,5872,5754,0.00206871487396,0.00175840764287,16.2251988314,NW,2019
CL101001033@,VOLCAN PARINACOTA,GLACIAR DE MONTAÑA,1.45802597826,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.1652177385145,-69.1494175447688,ALTIPLANICAS,MACROZONA NORTE,5943.60387794,6319,5433,0.0475416576809,0.0404104090288,34.6678071304,W,2019
CL101044018@,sin_nombre,GLACIAR ROCOSO,0.242220613951,TARAPACA,TAMARUGAL,PICA,-19.7641592811783,-68.6931872165226,ALTIPLANICAS,MACROZONA NORTE,5398.40255715,5739,5147,0.00249672421796,0.00228949610787,30.1922298675,S,2019
CL101044017@,sin_nombre,GLACIAR ROCOSO,0.165375954457,TARAPACA,TAMARUGAL,PICA,-19.7680656063898,-68.6979460325659,ALTIPLANICAS,MACROZONA NORTE,5249.44184721,5388,5148,0.00148752100811,0.00136405676444,27.9433716934,S,2019
CL101044019@,sin_nombre,GLACIAR ROCOSO,0.122774390525,TARAPACA,TAMARUGAL,PICA,-19.7710930012512,-68.6898556856338,ALTIPLANICAS,MACROZONA NORTE,5098.00152672,5267,4981,0.000992922557424,0.000910509985158,28.5837885092,SW,2019
CL101044016@,sin_nombre,GLACIAR ROCOSO,0.0781943750364,TARAPACA,TAMARUGAL,PICA,-19.7706890641143,-68.7021926959836,ALTIPLANICAS,MACROZONA NORTE,5202.39473684,5391,5094,0.000538313512523,0.000493633490984,27.3632634302,SE,2019
CL101044015@,sin_nombre,GLACIAR ROCOSO,0.0386441784987,TARAPACA,TAMARUGAL,PICA,-19.7722409654832,-68.723324973728,ALTIPLANICAS,MACROZONA NORTE,4976.21065375,5043,4924,0.000206856516218,0.000189687425372,23.8594994106,SW,2019
CL101044014@,sin_nombre,GLACIAR ROCOSO,0.0377008454012,TARAPACA,TAMARUGAL,PICA,-19.7615034779257,-68.7212160291542,ALTIPLANICAS,MACROZONA NORTE,5249.24626866,5294,5207,0.000200034330977,0.000183431481506,24.7283630075,NW,2019
CL101044013@,sin_nombre,GLACIAR ROCOSO,0.0376086840388,TARAPACA,TAMARUGAL,COLCHANE,-19.7426971779661,-68.7337491113209,ALTIPLANICAS,MACROZONA NORTE,5078.0525,5110,5030,0.000199371057643,0.000182823259859,19.3420543933,S,2019
CL101044012@,sin_nombre,GLACIAR ROCOSO,0.0184240040216,TARAPACA,TAMARUGAL,COLCHANE,-19.7442000580534,-68.7362861204741,ALTIPLANICAS,MACROZONA NORTE,4998.48969072,5027,4960,7.57045923444e-05,6.94211111798e-05,23.2410902092,S,2019
CL101044011@,sin_nombre,GLACIAR ROCOSO,0.374068456848,TARAPACA,TAMARUGAL,COLCHANE,-19.744189505,-68.7443263169866,ALTIPLANICAS,MACROZONA NORTE,5131.2726588,5443,4862,0.00450288376937,0.00412914441651,27.0647316607,SE,2019
CL101044010@,sin_nombre,GLACIAR ROCOSO,0.0166180424713,TARAPACA,TAMARUGAL,COLCHANE,-19.7524081491377,-68.7458207764196,ALTIPLANICAS,MACROZONA NORTE,5008.79329609,5087,4953,6.58147122156e-05,6.03520911017e-05,30.1332988846,SE,2019
CL101044007@,sin_nombre,GLACIAR ROCOSO,0.367108320349,TARAPACA,TAMARUGAL,PICA,-19.7537446534342,-68.7581350570574,ALTIPLANICAS,MACROZONA NORTE,5073.88971341,5341,4915,0.00438956897239,0.00402523474768,23.1382036236,S,2019
CL101044006@,sin_nombre,GLACIAR ROCOSO,0.201590291809,TARAPACA,TAMARUGAL,PICA,-19.7530045906601,-68.7731809651032,ALTIPLANICAS,MACROZONA NORTE,4952.1556384,5003,4844,0.00194608307634,0.001784558181,18.096642491,SW,2019
CL101042002@,sin_nombre,GLACIAR ROCOSO,0.123114468686,TARAPACA,TAMARUGAL,COLCHANE,-19.7224638563034,-68.8047021091508,ALTIPLANICAS,MACROZONA NORTE,5194.3597561,5335,5043,0.000996656612604,0.000913934113758,32.7207389572,SE,2019
CL101042001@,sin_nombre,GLACIAR ROCOSO,0.105010828197,TARAPACA,TAMARUGAL,COLCHANE,-19.7246810163746,-68.806430231987,ALTIPLANICAS,MACROZONA NORTE,5160.98126673,5389,5028,0.000803176072608,0.000736512458582,27.5112951761,SE,2019
CL101042003@,sin_nombre,GLACIAR ROCOSO,0.0809073433462,TARAPACA,TAMARUGAL,COLCHANE,-19.7157712412081,-68.8046337454605,ALTIPLANICAS,MACROZONA NORTE,5267.5699422,5404,5152,0.000563813858195,0.000517017307965,28.2236636652,NE,2019
CL101042004@,sin_nombre,GLACIAR ROCOSO,0.041267975769,TARAPACA,TAMARUGAL,COLCHANE,-19.7119684148407,-68.806361431879,ALTIPLANICAS,MACROZONA NORTE,5175.97085202,5339,5073,0.000226143014911,0.000207373144673,33.4822514367,N,2019
CL101000019@,sin_nombre,GLACIAR ROCOSO,0.137757669194,ARICA Y PARINACOTA,PARINACOTA,GENERAL LAGOS,-17.7696948320676,-69.4900280391174,ALTIPLANICAS,MACROZONA NORTE,5202.61187845,5377,5096,0.00116085033782,0.00106449975978,26.736610435,NE,2019
CL101030026@,sin_nombre,GLACIAR ROCOSO,0.197738802821,ARICA Y PARINACOTA,PARINACOTA,PUTRE,-18.9246303846813,-69.141104810457,ALTIPLANICAS,MACROZONA NORTE,4909.71414914,5088,4791,0.00189580131125,0.00173844980242,27.0180679804,SE,2019
CL101041002@,sin_nombre,GLACIAR ROCOSO,0.133751690101,TARAPACA,TAMARUGAL,COLCHANE,-19.1784199833267,-69.0032796913897,ALTIPLANICAS,MACROZONA NORTE,4698.06811798,4806,4620,0.00111528081446,0.00102271250686,18.5305231632,SW,2019
CL101044002@,sin_nombre,GLACIAR ROCOSO,0.0396209230334,TARAPACA,TAMARUGAL,PICA,-19.7489893151023,-68.7964243636116,ALTIPLANICAS,MACROZONA NORTE,5360.80522565,5471,5249,0.000213983249114,0.000196222639438,31.3017519976,SE,2019
CL101044003@,sin_nombre,GLACIAR ROCOSO,0.127167168634,TARAPACA,TAMARUGAL,PICA,-19.7482921929812,-68.7926895022128,ALTIPLANICAS,MACROZONA NORTE,5202.43394834,5313,5117,0.00104143696348,0.000954997695511,25.5598959068,SE,2019
CL101044004@,sin_nombre,GLACIAR ROCOSO,0.0330435391008,TARAPACA,TAMARUGAL,COLCHANE,-19.7476891974839,-68.7874686621276,ALTIPLANICAS,MACROZONA NORTE,5103.71304348,5158,5068,0.000167261723192,0.000153379000167,24.026593634,SE,2019
CL101044009@,sin_nombre,GLACIAR ROCOSO,0.0162443156284,TARAPACA,TAMARUGAL,PICA,-19.7664829157642,-68.7626257642748,ALTIPLANICAS,MACROZONA NORTE,4787.03448276,4820,4754,6.38142892254e-05,5.85177032197e-05,32.2104651462,SW,2019
CL101044005@,sin_nombre,GLACIAR ROCOSO,0.0258736284432,TARAPACA,TAMARUGAL,COLCHANE,-19.7394567359306,-68.804158287981,ALTIPLANICAS,MACROZONA NORTE,5364.90613718,5425,5291,0.000120017207324,0.000110055779116,27.6420469628,N,2019
CL101040008@,sin_nombre,GLACIAR ROCOSO,0.0482240656156,TARAPACA,TAMARUGAL,COLCHANE,-19.1247886280334,-68.814008240737,ALTIPLANICAS,MACROZONA NORTE,4999.609375,5076,4932,0.00027937344053,0.000256185444966,27.1894046515,S,2019
CL101610024@,sin_nombre,GLACIAR ROCOSO,0.0595191372669,TARAPACA,TAMARUGAL,COLCHANE,-19.1556224573751,-69.0171489513763,COSTERAS R.CAMARONES-PAMPA DEL TAMARUGAL,MACROZONA NORTE,4879.94952681,4919,4833,0.000371710777936,0.000340858783367,22.6482242771,W,2019
